date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2025-06-12,57.07083333333333,53.53333333333333,468.125,36.09166666666666,30.233333333333334,126.91666666666667,1.0033333333333332,6.75,1.4645833333333333,137.29166666666666,77.91666666666667
2025-06-13,54.025,51.67083333333333,515.375,43.60833333333333,37.858333333333334,104.79166666666667,1.0908333333333333,4.375,1.3729166666666668,137.125,79.29166666666667
2025-06-14,75.3875,72.87083333333334,894.75,81.85833333333333,50.425000000000004,36.25,1.26,4.333333333333333,0.38125000000000003,151.0,87.54166666666667
2025-06-15,61.25833333333333,53.65,1100.5833333333333,63.98333333333333,34.425000000000004,39.583333333333336,0.4345833333333333,14.666666666666666,1.7916666666666667,156.33333333333334,94.625
2025-06-16,45.44583333333333,42.30833333333333,598.0,53.737500000000004,25.445833333333336,45.291666666666664,0.395,5.958333333333333,1.6166666666666665,132.41666666666666,78.79166666666667
2025-06-17,69.07916666666667,58.82083333333333,799.125,65.42916666666666,35.770833333333336,67.125,0.6275000000000001,19.583333333333332,1.6520833333333333,135.33333333333334,80.33333333333333
2025-06-18,80.99583333333334,75.04583333333333,655.875,59.31666666666666,44.729166666666664,108.125,0.8566666666666666,11.583333333333334,1.6104166666666666,159.91666666666666,92.29166666666667
2025-06-19,98.83333333333333,92.17916666666667,638.5416666666666,72.1375,59.06666666666666,103.83333333333333,1.2879166666666666,12.458333333333334,0.8770833333333333,161.5,101.91666666666667
2025-06-20,65.5,64.47500000000001,475.4166666666667,67.91250000000001,36.8375,53.666666666666664,0.37875,1.7083333333333333,2.4499999999999997,173.16666666666666,119.66666666666667
2025-06-21,24.166666666666668,23.254166666666666,454.5416666666667,47.15416666666667,18.675,63.541666666666664,0.1366666666666667,1.0416666666666667,2.472916666666667,92.16666666666667,64.70833333333333
2025-06-22,29.633333333333336,27.325000000000003,530.375,46.09166666666667,22.15416666666667,68.5,0.25458333333333333,3.6666666666666665,2.24375,74.29166666666667,54.375
2025-06-23,55.67083333333333,50.791666666666664,620.5833333333334,55.099999999999994,34.574999999999996,87.625,0.44166666666666665,9.041666666666666,2.2041666666666666,119.04166666666667,73.75
2025-06-24,72.63333333333334,68.53333333333333,649.2916666666666,57.62916666666666,41.824999999999996,105.875,0.7429166666666666,8.041666666666666,1.71875,156.0,88.70833333333333
2025-06-25,66.075,63.75833333333333,594.5416666666666,46.65833333333333,38.0875,115.125,0.7333333333333333,4.291666666666667,1.7645833333333334,163.91666666666666,91.0
2025-06-26,50.12916666666666,48.81666666666666,663.9166666666666,52.0875,41.420833333333334,87.41666666666667,0.9216666666666667,2.3333333333333335,1.1166666666666667,136.375,80.875
2025-06-27,99.8625,95.79166666666667,637.4166666666666,56.89166666666667,52.30416666666667,88.75,1.8095833333333333,7.75,0.47500000000000003,158.75,99.375
2025-06-28,89.14166666666667,86.925,602.3333333333334,54.270833333333336,47.958333333333336,97.0,1.8458333333333332,3.9166666666666665,0.6958333333333333,171.0,116.58333333333333
2025-06-29,73.96249999999999,72.83749999999999,790.2083333333334,46.24166666666667,36.487500000000004,123.04166666666667,1.2829166666666667,2.0833333333333335,0.9416666666666668,164.75,104.375
2025-06-30,75.3625,74.28333333333333,722.3333333333334,61.82083333333333,41.270833333333336,103.875,1.3291666666666666,1.7916666666666667,0.8250000000000001,162.25,98.25
